,,,,,zone_1,10.0 Ha,zone_2,20.0 Ha
,nom,passage Ha,total/Ha,total,c/Ha,total,c/Ha,total
,,,,,,,,
Labours,,,,,,,,
Total Labours,,,10,200,10,100,10,200
,,,,,,,,
Pulves,,,,,,,,
Total Pulves,,,,,,,,
,,,,,,,,
Factures,,,,,,,,
,,,,,,,,
sous-totals,,,,,,,,
agri,,,1824.7,36494.6,1824.7,18247.3,1824.7,36494.6
maison,,,1186.3,23727.0,1186.3,11863.5,1186.3,23727.0
invest,,,,,,,,
Total Factures,,,3011.1,60221.6,3011.1,30110.8,3011.1,60221.6
,,,,,,,,
total charges,,,,,,,,
,,,3021.1,90632.4,3021.1,30210.8,3021.1,60421.6
,,,,,,,,
Ventes,,,,,,,,
Total Ventes,,,3137.2,62743.8,3137.2,31371.9,3137.2,62743.8
,,,,,,,,
total benefs,,,,,,,,
,,,116.1,3483.3,116.1,1161.1,116.1,2322.2
