,,,,,zone_1,10.0 Ha,zone_2,20.0 Ha
,nom,passage Ha,total/Ha,total,c/Ha,total,c/Ha,total
,,,,,,,,
Labours,,,,,,,,
Total Labours,,,18,180,18,180,,
,,,,,,,,
Pulves,,,,,,,,
Total Pulves,,,,,,,,
,,,,,,,,
Factures,,,,,,,,
,,,,,,,,
sous-totals,,,,,,,,
agri,,,13.3,300,13.3,133.3,13.3,166.7
maison,,,20,200,20,200,,
invest,,,,,,,,
Total Factures,,,33.3,500,33.3,333.3,13.3,166.7
,,,,,,,,
total charges,,,,,,,,
,,,51.3,680,51.3,513.3,13.3,166.7
,,,,,,,,
Ventes,,,,,,,,
Total Ventes,,,,,,,,
,,,,,,,,
total benefs,,,,,,,,
,,,-51.3,-680,-51.3,-513.3,-13.3,-166.7
