,,,,,zone_1,10.0 Ha,zone_2,20.0 Ha
,nom,passage Ha,total/Ha,total,c/Ha,total,c/Ha,total
,,,,,,,,
Labours,,,,,,,,
Total Labours,,,18,180,18,180,,
,,,,,,,,
Pulves,,,,,,,,
Total Pulves,,,,,,,,
,,,,,,,,
Factures,,,,,,,,
,,,,,,,,
sous-totals,,,,,,,,
agri,,,15,300,15,150,15,150
maison,,,20,200,20,200,,
invest,,,,,,,,
Total Factures,,,35,500,35,350,15,150
,,,,,,,,
total charges,,,,,,,,
,,,53,680,53,530,15,150
,,,,,,,,
Ventes,,,,,,,,
Total Ventes,,,,,,,,
,,,,,,,,
total benefs,,,,,,,,
,,,-53,-680,-53,-530,-15,-150
