,,,,,zone_1,10.0 Ha,zone_2,10.0 Ha
,nom,passage Ha,total/Ha,total,c/Ha,total,c/Ha,total
,,,,,,,,
Labours,,,,,,,,
Total Labours,,,,,,,,
,,,,,,,,
Pulves,,,,,,,,
Total Pulves,,,,,,,,
,,,,,,,,
Factures,,,,,,,,
,,,,,,,,
sous-totals,,,,,,,,
agri,,,1824.7,36494.6,1824.7,18247.3,1824.7,18247.3
maison,,,1186.3,23727.0,1186.3,11863.5,1186.3,11863.5
invest,,,,,,,,
Total Factures,,,3011.1,60221.6,3011.1,30110.8,3011.1,30110.8
,,,,,,,,
total charges,,,,,,,,
,,,3011.1,60221.6,3011.1,30110.8,3011.1,30110.8
,,,,,,,,
Ventes,,,,,,,,
Total Ventes,,,3137.2,62743.8,3137.2,31371.9,3137.2,31371.9
,,,,,,,,
total benefs,,,,,,,,
,,,126.1,2522.2,126.1,1261.1,126.1,1261.1
