,,,,,zone_1,10.0 Ha,zone_2,10.0 Ha
,nom,passage Ha,total/Ha,total,c/Ha,total,c/Ha,total
,,,,,,,,
Labours,,,,,,,,
Total Labours,,,,,,,,
,,,,,,,,
Pulves,,,,,,,,
Total Pulves,,,,,,,,
,,,,,,,,
Factures,,,,,,,,
,,,,,,,,
sous-totals,,,,,,,,
agri,,,243.3,36494.6,243.3,2433.0,243.3,2433.0
maison,,,158.2,23729.0,158.2,1581.9,158.2,1581.9
invest,,,,,,,,
Total Factures,,,401.5,60223.6,401.5,4014.9,401.5,4014.9
,,,,,,,,
total charges,,,,,,,,
,,,401.5,8029.8,401.5,4014.9,401.5,4014.9
,,,,,,,,
Ventes,,,,,,,,
Total Ventes,,,418.3,62743.8,418.3,4182.9,418.3,4182.9
,,,,,,,,
total benefs,,,,,,,,
,,,16.8,336.0,16.8,168.0,16.8,168.0
